,n,noise_lvl,data_type,model,TRE,TRE_STD,TESTE,TESTE_STD,E_DIFF,model_param
0,5,0.0,circles,logistic,0.75,0.0,0.0,0.0,0.75,0.001
1,5,0.0,circles,logistic,0.75,0.0,0.0,0.0,0.75,0.01
2,5,0.0,circles,logistic,0.75,0.0,0.0,0.0,0.75,0.1
3,5,0.0,circles,logistic,0.75,0.0,0.0,0.0,0.75,1.0
4,5,0.0,circles,logistic,0.75,0.22360679774997896,0.0,0.0,0.75,10.0
5,5,0.0,circles,logistic,0.75,0.22360679774997896,0.0,0.0,0.75,100.0
6,5,0.0,circles,logistic,0.75,0.22360679774997896,0.0,0.0,0.75,1000.0
7,5,0.0,circles,svm,0.75,0.0,0.0,0.0,0.75,0.001
8,5,0.0,circles,svm,0.75,0.0,0.0,0.0,0.75,0.005
9,5,0.0,circles,svm,0.75,0.0,0.0,0.0,0.75,0.01
10,5,0.0,circles,svm,0.75,0.0,0.0,0.0,0.75,0.05
11,5,0.0,circles,svm,0.75,0.0,0.0,0.0,0.75,0.1
12,5,0.0,circles,svm,0.75,0.0,0.0,0.0,0.75,0.5
13,5,0.0,circles,svm,0.9,0.1224744871391589,0.0,0.0,0.9,1.0
14,5,0.0,circles,svm,0.95,0.1,0.0,0.0,0.95,5.0
15,5,0.0,circles,svm,0.95,0.1,0.0,0.0,0.95,10.0
16,5,0.0,circles,svm,1.0,0.0,0.0,0.0,1.0,50.0
17,5,0.0,circles,svm,1.0,0.0,0.4,0.48989794855663565,0.6,1000.0
18,5,0.0,moons,logistic,0.7,0.1,0.4,0.48989794855663565,0.29999999999999993,0.001
19,5,0.0,moons,logistic,0.65,0.1224744871391589,0.4,0.48989794855663565,0.25,0.01
20,5,0.0,moons,logistic,0.65,0.1224744871391589,0.4,0.48989794855663565,0.25,0.1
21,5,0.0,moons,logistic,0.65,0.1224744871391589,0.2,0.4,0.45,1.0
22,5,0.0,moons,logistic,0.85,0.1224744871391589,0.2,0.4,0.6499999999999999,10.0
23,5,0.0,moons,logistic,0.9,0.1224744871391589,0.2,0.4,0.7,100.0
24,5,0.0,moons,logistic,0.9,0.1224744871391589,0.2,0.4,0.7,1000.0
25,5,0.0,moons,svm,0.7,0.1,0.4,0.48989794855663565,0.29999999999999993,0.001
26,5,0.0,moons,svm,0.7,0.1,0.4,0.48989794855663565,0.29999999999999993,0.005
27,5,0.0,moons,svm,0.7,0.1,0.4,0.48989794855663565,0.29999999999999993,0.01
28,5,0.0,moons,svm,0.7,0.1,0.4,0.48989794855663565,0.29999999999999993,0.05
29,5,0.0,moons,svm,0.7,0.1,0.4,0.48989794855663565,0.29999999999999993,0.1
30,5,0.0,moons,svm,0.8,0.1,0.2,0.4,0.6000000000000001,0.5
31,5,0.0,moons,svm,0.85,0.1224744871391589,0.0,0.0,0.85,1.0
32,5,0.0,moons,svm,1.0,0.0,0.0,0.0,1.0,5.0
33,5,0.0,moons,svm,1.0,0.0,0.0,0.0,1.0,10.0
34,5,0.0,moons,svm,1.0,0.0,0.0,0.0,1.0,50.0
35,5,0.0,moons,svm,1.0,0.0,0.4,0.48989794855663565,0.6,1000.0
36,5,0.1,circles,logistic,0.75,0.0,0.0,0.0,0.75,0.001
37,5,0.1,circles,logistic,0.65,0.1224744871391589,0.0,0.0,0.65,0.01
38,5,0.1,circles,logistic,0.65,0.1224744871391589,0.0,0.0,0.65,0.1
39,5,0.1,circles,logistic,0.7,0.1,0.0,0.0,0.7,1.0
40,5,0.1,circles,logistic,0.8,0.2449489742783178,0.0,0.0,0.8,10.0
41,5,0.1,circles,logistic,0.8,0.2449489742783178,0.0,0.0,0.8,100.0
42,5,0.1,circles,logistic,0.8,0.2449489742783178,0.0,0.0,0.8,1000.0
43,5,0.1,circles,svm,0.75,0.0,0.0,0.0,0.75,0.001
44,5,0.1,circles,svm,0.75,0.0,0.0,0.0,0.75,0.005
45,5,0.1,circles,svm,0.75,0.0,0.0,0.0,0.75,0.01
46,5,0.1,circles,svm,0.75,0.0,0.0,0.0,0.75,0.05
47,5,0.1,circles,svm,0.75,0.0,0.0,0.0,0.75,0.1
48,5,0.1,circles,svm,0.75,0.0,0.0,0.0,0.75,0.5
49,5,0.1,circles,svm,0.85,0.1224744871391589,0.0,0.0,0.85,1.0
50,5,0.1,circles,svm,0.95,0.1,0.0,0.0,0.95,5.0
51,5,0.1,circles,svm,0.95,0.1,0.0,0.0,0.95,10.0
52,5,0.1,circles,svm,1.0,0.0,0.0,0.0,1.0,50.0
53,5,0.1,circles,svm,1.0,0.0,0.4,0.48989794855663565,0.6,1000.0
54,5,0.1,moons,logistic,0.7,0.1,0.4,0.48989794855663565,0.29999999999999993,0.001
55,5,0.1,moons,logistic,0.65,0.1224744871391589,0.4,0.48989794855663565,0.25,0.01
56,5,0.1,moons,logistic,0.65,0.1224744871391589,0.4,0.48989794855663565,0.25,0.1
57,5,0.1,moons,logistic,0.65,0.1224744871391589,0.2,0.4,0.45,1.0
58,5,0.1,moons,logistic,0.8,0.18708286933869706,0.2,0.4,0.6000000000000001,10.0
59,5,0.1,moons,logistic,0.9,0.1224744871391589,0.2,0.4,0.7,100.0
60,5,0.1,moons,logistic,0.9,0.1224744871391589,0.2,0.4,0.7,1000.0
61,5,0.1,moons,svm,0.65,0.1224744871391589,0.4,0.48989794855663565,0.25,0.001
62,5,0.1,moons,svm,0.65,0.1224744871391589,0.4,0.48989794855663565,0.25,0.005
63,5,0.1,moons,svm,0.65,0.1224744871391589,0.4,0.48989794855663565,0.25,0.01
64,5,0.1,moons,svm,0.65,0.1224744871391589,0.4,0.48989794855663565,0.25,0.05
65,5,0.1,moons,svm,0.65,0.1224744871391589,0.2,0.4,0.45,0.1
66,5,0.1,moons,svm,0.75,0.0,0.0,0.0,0.75,0.5
67,5,0.1,moons,svm,0.85,0.1224744871391589,0.0,0.0,0.85,1.0
68,5,0.1,moons,svm,1.0,0.0,0.0,0.0,1.0,5.0
69,5,0.1,moons,svm,1.0,0.0,0.0,0.0,1.0,10.0
70,5,0.1,moons,svm,1.0,0.0,0.0,0.0,1.0,50.0
71,5,0.1,moons,svm,1.0,0.0,0.4,0.48989794855663565,0.6,1000.0
72,5,0.2,circles,logistic,0.75,0.0,0.0,0.0,0.75,0.001
73,5,0.2,circles,logistic,0.7,0.1,0.0,0.0,0.7,0.01
74,5,0.2,circles,logistic,0.75,0.0,0.0,0.0,0.75,0.1
75,5,0.2,circles,logistic,0.75,0.0,0.0,0.0,0.75,1.0
76,5,0.2,circles,logistic,0.8,0.2449489742783178,0.0,0.0,0.8,10.0
77,5,0.2,circles,logistic,0.8,0.2449489742783178,0.0,0.0,0.8,100.0
78,5,0.2,circles,logistic,0.8,0.2449489742783178,0.0,0.0,0.8,1000.0
79,5,0.2,circles,svm,0.75,0.0,0.0,0.0,0.75,0.001
80,5,0.2,circles,svm,0.75,0.0,0.0,0.0,0.75,0.005
81,5,0.2,circles,svm,0.75,0.0,0.0,0.0,0.75,0.01
82,5,0.2,circles,svm,0.75,0.0,0.0,0.0,0.75,0.05
83,5,0.2,circles,svm,0.75,0.0,0.0,0.0,0.75,0.1
84,5,0.2,circles,svm,0.8,0.1,0.0,0.0,0.8,0.5
85,5,0.2,circles,svm,0.9,0.1224744871391589,0.0,0.0,0.9,1.0
86,5,0.2,circles,svm,0.95,0.1,0.0,0.0,0.95,5.0
87,5,0.2,circles,svm,1.0,0.0,0.0,0.0,1.0,10.0
88,5,0.2,circles,svm,1.0,0.0,0.0,0.0,1.0,50.0
89,5,0.2,circles,svm,1.0,0.0,0.2,0.4,0.8,1000.0
90,5,0.2,moons,logistic,0.7,0.1,0.6,0.48989794855663565,0.09999999999999998,0.001
91,5,0.2,moons,logistic,0.65,0.1224744871391589,0.2,0.4,0.45,0.01
92,5,0.2,moons,logistic,0.65,0.1224744871391589,0.2,0.4,0.45,0.1
93,5,0.2,moons,logistic,0.65,0.1224744871391589,0.2,0.4,0.45,1.0
94,5,0.2,moons,logistic,0.85,0.2,0.2,0.4,0.6499999999999999,10.0
95,5,0.2,moons,logistic,0.85,0.2,0.2,0.4,0.6499999999999999,100.0
96,5,0.2,moons,logistic,0.85,0.2,0.2,0.4,0.6499999999999999,1000.0
97,5,0.2,moons,svm,0.65,0.1224744871391589,0.2,0.4,0.45,0.001
98,5,0.2,moons,svm,0.65,0.1224744871391589,0.2,0.4,0.45,0.005
99,5,0.2,moons,svm,0.65,0.1224744871391589,0.2,0.4,0.45,0.01
100,5,0.2,moons,svm,0.65,0.1224744871391589,0.2,0.4,0.45,0.05
101,5,0.2,moons,svm,0.7,0.1,0.2,0.4,0.49999999999999994,0.1
102,5,0.2,moons,svm,0.75,0.0,0.0,0.0,0.75,0.5
103,5,0.2,moons,svm,0.95,0.1,0.0,0.0,0.95,1.0
104,5,0.2,moons,svm,1.0,0.0,0.2,0.4,0.8,5.0
105,5,0.2,moons,svm,1.0,0.0,0.2,0.4,0.8,10.0
106,5,0.2,moons,svm,1.0,0.0,0.0,0.0,1.0,50.0
107,5,0.2,moons,svm,1.0,0.0,0.6,0.48989794855663565,0.4,1000.0
108,5,0.3,circles,logistic,0.7,0.18708286933869706,0.2,0.4,0.49999999999999994,0.001
109,5,0.3,circles,logistic,0.7,0.18708286933869706,0.2,0.4,0.49999999999999994,0.01
110,5,0.3,circles,logistic,0.7,0.18708286933869706,0.2,0.4,0.49999999999999994,0.1
111,5,0.3,circles,logistic,0.7,0.18708286933869706,0.2,0.4,0.49999999999999994,1.0
112,5,0.3,circles,logistic,0.8,0.2449489742783178,0.4,0.48989794855663565,0.4,10.0
113,5,0.3,circles,logistic,0.85,0.2,0.4,0.48989794855663565,0.44999999999999996,100.0
114,5,0.3,circles,logistic,0.85,0.2,0.4,0.48989794855663565,0.44999999999999996,1000.0
115,5,0.3,circles,svm,0.75,0.15811388300841897,0.2,0.4,0.55,0.001
116,5,0.3,circles,svm,0.75,0.15811388300841897,0.2,0.4,0.55,0.005
117,5,0.3,circles,svm,0.75,0.15811388300841897,0.2,0.4,0.55,0.01
118,5,0.3,circles,svm,0.75,0.15811388300841897,0.2,0.4,0.55,0.05
119,5,0.3,circles,svm,0.8,0.1,0.2,0.4,0.6000000000000001,0.1
120,5,0.3,circles,svm,0.9,0.1224744871391589,0.2,0.4,0.7,0.5
121,5,0.3,circles,svm,0.95,0.1,0.2,0.4,0.75,1.0
122,5,0.3,circles,svm,1.0,0.0,0.0,0.0,1.0,5.0
123,5,0.3,circles,svm,1.0,0.0,0.0,0.0,1.0,10.0
124,5,0.3,circles,svm,1.0,0.0,0.0,0.0,1.0,50.0
125,5,0.3,circles,svm,1.0,0.0,0.4,0.48989794855663565,0.6,1000.0
126,5,0.3,moons,logistic,0.7,0.1,0.4,0.48989794855663565,0.29999999999999993,0.001
127,5,0.3,moons,logistic,0.65,0.1224744871391589,0.4,0.48989794855663565,0.25,0.01
128,5,0.3,moons,logistic,0.65,0.1224744871391589,0.4,0.48989794855663565,0.25,0.1
129,5,0.3,moons,logistic,0.7,0.18708286933869706,0.4,0.48989794855663565,0.29999999999999993,1.0
130,5,0.3,moons,logistic,0.75,0.22360679774997896,0.2,0.4,0.55,10.0
131,5,0.3,moons,logistic,0.8,0.18708286933869706,0.2,0.4,0.6000000000000001,100.0
132,5,0.3,moons,logistic,0.85,0.2,0.2,0.4,0.6499999999999999,1000.0
133,5,0.3,moons,svm,0.65,0.1224744871391589,0.4,0.48989794855663565,0.25,0.001
134,5,0.3,moons,svm,0.65,0.1224744871391589,0.4,0.48989794855663565,0.25,0.005
135,5,0.3,moons,svm,0.65,0.1224744871391589,0.4,0.48989794855663565,0.25,0.01
136,5,0.3,moons,svm,0.65,0.1224744871391589,0.4,0.48989794855663565,0.25,0.05
137,5,0.3,moons,svm,0.65,0.1224744871391589,0.4,0.48989794855663565,0.25,0.1
138,5,0.3,moons,svm,0.7,0.1,0.4,0.48989794855663565,0.29999999999999993,0.5
139,5,0.3,moons,svm,0.95,0.1,0.0,0.0,0.95,1.0
140,5,0.3,moons,svm,1.0,0.0,0.2,0.4,0.8,5.0
141,5,0.3,moons,svm,1.0,0.0,0.2,0.4,0.8,10.0
142,5,0.3,moons,svm,1.0,0.0,0.0,0.0,1.0,50.0
143,5,0.3,moons,svm,1.0,0.0,0.6,0.48989794855663565,0.4,1000.0
144,5,0.4,circles,logistic,0.75,0.15811388300841897,0.2,0.4,0.55,0.001
145,5,0.4,circles,logistic,0.75,0.15811388300841897,0.2,0.4,0.55,0.01
146,5,0.4,circles,logistic,0.75,0.15811388300841897,0.2,0.4,0.55,0.1
147,5,0.4,circles,logistic,0.85,0.1224744871391589,0.2,0.4,0.6499999999999999,1.0
148,5,0.4,circles,logistic,0.8,0.18708286933869706,0.2,0.4,0.6000000000000001,10.0
149,5,0.4,circles,logistic,0.85,0.2,0.2,0.4,0.6499999999999999,100.0
150,5,0.4,circles,logistic,0.85,0.2,0.2,0.4,0.6499999999999999,1000.0
151,5,0.4,circles,svm,0.8,0.1,0.4,0.48989794855663565,0.4,0.001
152,5,0.4,circles,svm,0.8,0.1,0.4,0.48989794855663565,0.4,0.005
153,5,0.4,circles,svm,0.8,0.1,0.4,0.48989794855663565,0.4,0.01
154,5,0.4,circles,svm,0.8,0.1,0.4,0.48989794855663565,0.4,0.05
155,5,0.4,circles,svm,0.8,0.1,0.4,0.48989794855663565,0.4,0.1
156,5,0.4,circles,svm,0.85,0.1224744871391589,0.4,0.48989794855663565,0.44999999999999996,0.5
157,5,0.4,circles,svm,0.95,0.1,0.4,0.48989794855663565,0.5499999999999999,1.0
158,5,0.4,circles,svm,1.0,0.0,0.4,0.48989794855663565,0.6,5.0
159,5,0.4,circles,svm,1.0,0.0,0.4,0.48989794855663565,0.6,10.0
160,5,0.4,circles,svm,1.0,0.0,0.4,0.48989794855663565,0.6,50.0
161,5,0.4,circles,svm,1.0,0.0,0.4,0.48989794855663565,0.6,1000.0
162,5,0.4,moons,logistic,0.75,0.0,0.6,0.48989794855663565,0.15000000000000002,0.001
163,5,0.4,moons,logistic,0.7,0.18708286933869706,0.4,0.48989794855663565,0.29999999999999993,0.01
164,5,0.4,moons,logistic,0.75,0.15811388300841897,0.4,0.48989794855663565,0.35,0.1
165,5,0.4,moons,logistic,0.85,0.1224744871391589,0.6,0.48989794855663565,0.25,1.0
166,5,0.4,moons,logistic,1.0,0.0,0.8,0.4,0.19999999999999996,10.0
167,5,0.4,moons,logistic,1.0,0.0,0.8,0.4,0.19999999999999996,100.0
168,5,0.4,moons,logistic,1.0,0.0,0.8,0.4,0.19999999999999996,1000.0
169,5,0.4,moons,svm,0.75,0.0,0.4,0.48989794855663565,0.35,0.001
170,5,0.4,moons,svm,0.75,0.0,0.4,0.48989794855663565,0.35,0.005
171,5,0.4,moons,svm,0.75,0.0,0.4,0.48989794855663565,0.35,0.01
172,5,0.4,moons,svm,0.75,0.0,0.4,0.48989794855663565,0.35,0.05
173,5,0.4,moons,svm,0.75,0.0,0.4,0.48989794855663565,0.35,0.1
174,5,0.4,moons,svm,0.9,0.1224744871391589,0.4,0.48989794855663565,0.5,0.5
